"mean","sd","0.025quant","0.975quant","WeatherCov","HabitatCov","CovName"
-0.196,0.072,-0.338,-0.053,"WC","DtFE.Z","DtFE.Z"
-0.109,0.515,-1.12,0.902,"WC","DtFE.Z","WC"
0.105,0.011,0.084,0.126,"WC","DtFE.Z","StepLength.Z"
0.001,0.001,-0.002,0.004,"WC","DtFE.Z","DtFE.Z:WC"
-0.123,0.069,-0.258,0.015,"SD","DtFE.Z","DtFE.Z"
-0.589,2.763,-6.014,4.832,"SD","DtFE.Z","SD"
0.105,0.011,0.084,0.127,"SD","DtFE.Z","StepLength.Z"
-0.02,0.006,-0.031,-0.009,"SD","DtFE.Z","DtFE.Z:SD"
0.026,0.027,-0.029,0.078,"WC","Wind.Exp.Z","Wind.Exp.Z"
-0.108,0.515,-1.119,0.903,"WC","Wind.Exp.Z","WC"
0.091,0.011,0.07,0.112,"WC","Wind.Exp.Z","StepLength.Z"
0,0.001,-0.002,0.002,"WC","Wind.Exp.Z","Wind.Exp.Z:WC"
0.014,0.023,-0.033,0.057,"SD","Wind.Exp.Z","Wind.Exp.Z"
-0.578,2.763,-6.003,4.842,"SD","Wind.Exp.Z","SD"
0.091,0.011,0.07,0.112,"SD","Wind.Exp.Z","StepLength.Z"
0.003,0.004,-0.006,0.011,"SD","Wind.Exp.Z","Wind.Exp.Z:SD"
-0.358,0.092,-0.559,-0.198,"WC","PropAg.Z","PropAg.Z"
-0.111,0.515,-1.122,0.9,"WC","PropAg.Z","WC"
0.098,0.011,0.077,0.119,"WC","PropAg.Z","StepLength.Z"
0.007,0.001,0.004,0.009,"WC","PropAg.Z","PropAg.Z:WC"
-0.185,0.089,-0.382,-0.032,"SD","PropAg.Z","PropAg.Z"
-0.598,2.763,-6.023,4.823,"SD","PropAg.Z","SD"
0.098,0.011,0.076,0.119,"SD","PropAg.Z","StepLength.Z"
-0.015,0.005,-0.024,-0.006,"SD","PropAg.Z","PropAg.Z:SD"
-0.215,0.143,-0.513,0.054,"WC","PropDev.Z","PropDev.Z"
-0.111,0.515,-1.122,0.9,"WC","PropDev.Z","WC"
0.102,0.011,0.08,0.123,"WC","PropDev.Z","StepLength.Z"
-0.001,0.002,-0.005,0.002,"WC","PropDev.Z","PropDev.Z:WC"
-0.286,0.143,-0.585,-0.017,"SD","PropDev.Z","PropDev.Z"
-0.575,2.763,-6,4.846,"SD","PropDev.Z","SD"
0.102,0.011,0.081,0.123,"SD","PropDev.Z","StepLength.Z"
0.012,0.006,0,0.025,"SD","PropDev.Z","PropDev.Z:SD"
-0.009,0.052,-0.113,0.095,"WC","PropSW.Z","PropSW.Z"
-0.108,0.515,-1.12,0.902,"WC","PropSW.Z","WC"
0.094,0.011,0.072,0.115,"WC","PropSW.Z","StepLength.Z"
-0.001,0.001,-0.003,0.002,"WC","PropSW.Z","PropSW.Z:WC"
-0.018,0.048,-0.114,0.077,"SD","PropSW.Z","PropSW.Z"
-0.583,2.764,-6.009,4.839,"SD","PropSW.Z","SD"
0.094,0.011,0.072,0.115,"SD","PropSW.Z","StepLength.Z"
-0.002,0.005,-0.011,0.008,"SD","PropSW.Z","PropSW.Z:SD"
-0.135,0.077,-0.292,0.013,"WC","PropFoodSub.Z","PropFoodSub.Z"
-0.107,0.515,-1.118,0.904,"WC","PropFoodSub.Z","WC"
0.101,0.011,0.08,0.122,"WC","PropFoodSub.Z","StepLength.Z"
0.003,0.001,0,0.006,"WC","PropFoodSub.Z","PropFoodSub.Z:WC"
-0.056,0.073,-0.205,0.086,"SD","PropFoodSub.Z","PropFoodSub.Z"
-0.567,2.763,-5.992,4.854,"SD","PropFoodSub.Z","SD"
0.101,0.011,0.08,0.122,"SD","PropFoodSub.Z","StepLength.Z"
-0.006,0.005,-0.016,0.003,"SD","PropFoodSub.Z","PropFoodSub.Z:SD"
0.249,0.053,0.146,0.355,"WC","BA.Z","BA.Z"
-0.109,0.515,-1.12,0.901,"WC","BA.Z","WC"
0.116,0.011,0.095,0.137,"WC","BA.Z","StepLength.Z"
-0.001,0.001,-0.004,0.001,"WC","BA.Z","BA.Z:WC"
0.234,0.049,0.137,0.332,"SD","BA.Z","BA.Z"
-0.581,2.763,-6.006,4.84,"SD","BA.Z","SD"
0.116,0.011,0.095,0.137,"SD","BA.Z","StepLength.Z"
-0.004,0.004,-0.011,0.004,"SD","BA.Z","BA.Z:SD"
0.153,0.058,0.04,0.268,"WC","SW.Z","SW.Z"
-0.107,0.515,-1.118,0.903,"WC","SW.Z","WC"
0.11,0.011,0.088,0.131,"WC","SW.Z","StepLength.Z"
-0.001,0.001,-0.003,0.001,"WC","SW.Z","SW.Z:WC"
0.155,0.055,0.047,0.264,"SD","SW.Z","SW.Z"
-0.572,2.763,-5.997,4.848,"SD","SW.Z","SD"
0.109,0.011,0.088,0.131,"SD","SW.Z","StepLength.Z"
-0.007,0.004,-0.015,0.001,"SD","SW.Z","SW.Z:SD"
